WaferDiameter:300
DieSize:(2,2)
DieShiftVector:(1,1)
ReferenceDie:(2,2)
DieStreetWidthAndHeight:(0.5,0.3)
RecticleStreetWidthAndHeight:(0,0)
DiesPerReticle:2x3
CircularExclusionZone:3.2
GripperWidthAndHeight:(10,20)
GripperAngle:50,130,230,310
WaferCoordinates:
(-23.7,148.8)
(-23.1,149.4)
(-22.5,149.9)
(-21.2,148.8)
(-20.6,149.4)
(-20.0,149.9)
(-18.7,148.8)
(-18.1,149.4)
(-17.5,149.9)
(-16.2,148.8)
(-15.6,149.4)
(-15.0,149.9)
(-13.7,148.8)
(-13.1,149.4)
(-12.5,149.9)
(-11.2,148.8)
(-10.6,149.4)
(-10.0,149.9)
(-8.7,148.8)
(-8.1,149.4)
(-7.5,149.9)
(-6.2,148.8)
(-5.6,149.4)
(-5.0,149.9)
(-3.7,148.8)
(-3.1,149.4)
(-2.5,149.9)
(-1.2,148.8)
(-0.6,149.4)
(0.0,149.9)
(1.3,148.8)
(1.9,149.4)
(2.5,149.9)
(3.8,148.8)
(4.4,149.4)
(5.0,149.9)
(6.3,148.8)
(6.9,149.4)
(7.5,149.9)
(8.8,148.8)
(9.4,149.4)
(10.0,149.9)
(11.3,148.8)
(11.9,149.4)
(12.5,149.9)
(13.8,148.8)
(14.4,149.4)
(15.0,149.9)
(16.3,148.8)
(16.9,149.4)
(17.5,149.9)
(18.8,148.8)
(19.4,149.4)
(20.0,149.9)
(21.3,148.8)
(21.9,149.4)
(22.5,149.9)
(-43.7,144.2)
(-43.1,144.8)
(-42.5,145.3)
(-41.2,144.2)
(-40.6,144.8)
(-40.0,145.3)
(-38.7,144.2)
(-38.1,144.8)
(-37.5,145.3)
(-36.2,146.5)
(-35.6,147.1)
(-35.0,147.6)
(-33.7,146.5)
(-33.1,147.1)
(-32.5,147.6)
(-31.2,146.5)
(-30.6,147.1)
(-30.0,147.6)
(-36.2,144.2)
(-35.6,144.8)
(-35.0,145.3)
(-33.7,144.2)
(-33.1,144.8)
(-32.5,145.3)
(-31.2,144.2)
(-30.6,144.8)
(-30.0,145.3)
(-28.7,146.5)
(-28.1,147.1)
(-27.5,147.6)
(-26.2,146.5)
(-25.6,147.1)
(-25.0,147.6)
(-23.7,146.5)
(-23.1,147.1)
(-22.5,147.6)
(-28.7,144.2)
(-28.1,144.8)
(-27.5,145.3)
(-26.2,144.2)
(-25.6,144.8)
(-25.0,145.3)
(-23.7,144.2)
(-23.1,144.8)
(-22.5,145.3)
(-21.2,146.5)
(-20.6,147.1)
(-20.0,147.6)
(-18.7,146.5)
(-18.1,147.1)
(-17.5,147.6)
(-16.2,146.5)
(-15.6,147.1)
(-15.0,147.6)
(-21.2,144.2)
(-20.6,144.8)
(-20.0,145.3)
(-18.7,144.2)
(-18.1,144.8)
(-17.5,145.3)
(-16.2,144.2)
(-15.6,144.8)
(-15.0,145.3)
(-13.7,146.5)
(-13.1,147.1)
(-12.5,147.6)
(-11.2,146.5)
(-10.6,147.1)
(-10.0,147.6)
(-8.7,146.5)
(-8.1,147.1)
(-7.5,147.6)
(-13.7,144.2)
(-13.1,144.8)
(-12.5,145.3)
(-11.2,144.2)
(-10.6,144.8)
(-10.0,145.3)
(-8.7,144.2)
(-8.1,144.8)
(-7.5,145.3)
(-6.2,146.5)
(-5.6,147.1)
(-5.0,147.6)
(-3.7,146.5)
(-3.1,147.1)
(-2.5,147.6)
(-1.2,146.5)
(-0.6,147.1)
(0.0,147.6)
(-6.2,144.2)
(-5.6,144.8)
(-5.0,145.3)
(-3.7,144.2)
(-3.1,144.8)
(-2.5,145.3)
(-1.2,144.2)
(-0.6,144.8)
(0.0,145.3)
(1.3,146.5)
(1.9,147.1)
(2.5,147.6)
(3.8,146.5)
(4.4,147.1)
(5.0,147.6)
(6.3,146.5)
(6.9,147.1)
(7.5,147.6)
(1.3,144.2)
(1.9,144.8)
(2.5,145.3)
(3.8,144.2)
(4.4,144.8)
(5.0,145.3)
(6.3,144.2)
(6.9,144.8)
(7.5,145.3)
(8.8,146.5)
(9.4,147.1)
(10.0,147.6)
(11.3,146.5)
(11.9,147.1)
(12.5,147.6)
(13.8,146.5)
(14.4,147.1)
(15.0,147.6)
(8.8,144.2)
(9.4,144.8)
(10.0,145.3)
(11.3,144.2)
(11.9,144.8)
(12.5,145.3)
(13.8,144.2)
(14.4,144.8)
(15.0,145.3)
(16.3,146.5)
(16.9,147.1)
(17.5,147.6)
(18.8,146.5)
(19.4,147.1)
(20.0,147.6)
(21.3,146.5)
(21.9,147.1)
(22.5,147.6)
(16.3,144.2)
(16.9,144.8)
(17.5,145.3)
(18.8,144.2)
(19.4,144.8)
(20.0,145.3)
(21.3,144.2)
(21.9,144.8)
(22.5,145.3)
(23.8,146.5)
(24.4,147.1)
(25.0,147.6)
(26.3,146.5)
